"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jml_utp_usaha_total_1_9_ternak";"jml_utp_usaha_total_10_49_ternak";"jml_utp_usaha_total_50_99_ternak";"jml_utp_usaha_total_100_199_ternak";"jml_utp_usaha_total_200_499_ternak";"jml_utp_usaha_total_500_999_ternak";"jml_utp_usaha_total_1000_4999_ternak";"jml_utp_usaha_total_5000_9999_ternak";"jml_utp_usaha_total_10000_more_ternak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310010] PAGA";"53";"5310";"5310010";"639";"297";"12";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310011] MEGO";"53";"5310";"5310011";"892";"226";"5";"4";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310012] TANA WAWO";"53";"5310";"5310012";"482";"296";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310020] LELA";"53";"5310";"5310020";"644";"330";"10";"1";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310030] BOLA";"53";"5310";"5310030";"660";"359";"5";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310031] DORENG";"53";"5310";"5310031";"740";"625";"4";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310032] MAPITARA";"53";"5310";"5310032";"209";"143";"1";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310040] TALIBURA";"53";"5310";"5310040";"1370";"526";"8";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310041] WAIGETE";"53";"5310";"5310041";"1408";"1128";"19";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310042] WAIBLAMA";"53";"5310";"5310042";"175";"217";"5";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310050] KEWAPANTE";"53";"5310";"5310050";"583";"459";"8";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"601";"633";"12";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310052] KANGAE";"53";"5310";"5310052";"1146";"1056";"43";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310061] PALUE";"53";"5310";"5310061";"220";"52";"4";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310062] KOTING";"53";"5310";"5310062";"414";"173";"4";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310063] NELLE";"53";"5310";"5310063";"331";"305";"7";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310070] NITA";"53";"5310";"5310070";"1089";"548";"4";"3";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310071] MAGEPANDA";"53";"5310";"5310071";"524";"441";"8";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310080] ALOK";"53";"5310";"5310080";"389";"315";"5";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310081] ALOK BARAT";"53";"5310";"5310081";"430";"289";"10";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"505";"628";"8";"2";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310] SIKKA";"53";"5310";"5310999";"13451";"9046";"183";"22";"2";"1";"1";"0";"0"
