tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jml_utp_usaha_total_1_2_ternak;jml_utp_usaha_total_3_4_ternak;jml_utp_usaha_total_5_9_ternak;jml_utp_usaha_total_10_19_ternak;jml_utp_usaha_total_20_49_ternak;jml_utp_usaha_total_50_99_ternak;jml_utp_usaha_total_100_199_ternak;jml_utp_usaha_total_200_499_ternak;jml_utp_usaha_total_500_or_more_ternak
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310010] PAGA;53;5310;5310010;1;1;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310011] MEGO;53;5310;5310011;15;10;2;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310012] TANA WAWO;53;5310;5310012;2;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310042] WAIBLAMA;53;5310;5310042;1;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310070] NITA;53;5310;5310070;1;0;3;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310071] MAGEPANDA;53;5310;5310071;101;46;17;4;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310080] ALOK;53;5310;5310080;0;1;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310082] ALOK TIMUR;53;5310;5310082;0;0;1;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310] SIKKA;53;5310;5310999;121;58;23;4;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310010] PAGA;53;5310;5310010;10;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310011] MEGO;53;5310;5310011;31;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310012] TANA WAWO;53;5310;5310012;9;2;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310020] LELA;53;5310;5310020;15;1;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310030] BOLA;53;5310;5310030;1;0;0;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310031] DORENG;53;5310;5310031;7;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310032] MAPITARA;53;5310;5310032;22;1;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310040] TALIBURA;53;5310;5310040;1;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310041] WAIGETE;53;5310;5310041;4;2;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310050] KEWAPANTE;53;5310;5310050;4;0;0;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310051] HEWOKLOANG;53;5310;5310051;1;0;0;0;0;0;0;0;0
